title,citation,description,url
[PDF][PDF] Machine learning algorithms-a review,"B Mahesh - International Journal of Science and Research (IJSR) …, 2020 - researchgate.net","… Here‟sa quick look at some of the commonly used algorithms in machine learning (ML) 
Supervised Learning Supervised learning is the machine learning task of learning a function …",https://www.researchgate.net/profile/Batta-Mahesh/publication/344717762_Machine_Learning_Algorithms_-A_Review/links/5f8b2365299bf1b53e2d243a/Machine-Learning-Algorithms-A-Review.pdf?eid=5082902844932096t
[BOOK][B] Machine learning,E Alpaydin - 2021 - books.google.com,"MIT presents a concise primer on machine learning—computer programs that learn from 
data and the basis of applications like voice recognition and driverless cars. No in-depth …",https://books.google.com/books?hl=en&lr=&id=2nQJEAAAQBAJ&oi=fnd&pg=PR7&dq=machine+learning&ots=fI-5O9-zot&sig=j02iIUKs45f0dihkuCNqqndLyFs
"Machine learning: Trends, perspectives, and prospects","MI Jordan, TM Mitchell - Science, 2015 - science.org","… Machine learning addresses the question of how to build computers that improve … Recent 
progress in machine learning has been driven both by the development of new learning …",https://www.science.org/doi/abs/10.1126/science.aaa8415
[BOOK][B] What is machine learning?,"I El Naqa, MJ Murphy - 2015 - Springer","… A machine learning algorithm is a computational process that … This training is the “learning” 
part of machine learning. The … can practice “lifelong” learning as it processes new data and …",https://link.springer.com/chapter/10.1007/978-3-319-18305-3_1
[BOOK][B] Machine learning,ZH Zhou - 2021 - books.google.com,"… machine learning. The second part includes Chapters 4–10, which presents some classic and 
popular machine learning … cover the core topics of machine learning in one semester, and …",https://books.google.com/books?hl=en&lr=&id=ctM-EAAAQBAJ&oi=fnd&pg=PR6&dq=machine+learning&ots=o_KkS7Ys3t&sig=hOAsToWph0dc3iA2Kxquk6-z0gM
Machine learning and the physical sciences,"G Carleo, I Cirac, K Cranmer, L Daudet, M Schuld… - Reviews of Modern …, 2019 - APS","… II, where the interaction with machine learning has a long history, drawing on methods in … 
in machine learning. We then turn the wheel in the other direction of using machine learning for …",https://journals.aps.org/rmp/abstract/10.1103/RevModPhys.91.045002
What is machine learning? A primer for the epidemiologist,"Q Bi, KE Goodman, J Kaminsky… - American journal of …, 2019 - academic.oup.com","… We provide a brief introduction to 5 common machine learning … of machine learning 
techniques in the published literature. We recommend approaches to incorporate machine learning …",https://academic.oup.com/aje/article-abstract/188/12/2222/5567515
[PDF][PDF] Machine learning,"TG Dietterich - Annual review of computer science, 1990 - Citeseer","The study of machine learning methods has progressed greatly in the past few years. This 
progress has taken many directions. First, in the area of inductive learning, a new formal de …",https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=417f55320080fea71d491a18318dad6572b2fa8c
[BOOK][B] Readings in machine learning,"JW Shavlik, TG Dietterich - 1990 - books.google.com","… in machine learning. We have taught from these readings in our own machine learning … 
Furthermore, we in machine learning believe that learning techniques provide important con…",https://books.google.com/books?hl=en&lr=&id=UgC33U2KMCsC&oi=fnd&pg=PA1&dq=machine+learning&ots=TihgekaEt9&sig=kvnf0gatPEPtaEPENSQn4BavSbQ
[BOOK][B] Encyclopedia of machine learning,"C Sammut, GI Webb - 2011 - books.google.com","… Machine Learning came to be identified as a research field in its … machine learning appeared. 
Although the field coalesced in the 1980s, research on what we now call machine learning …",https://books.google.com/books?hl=en&lr=&id=i8hQhp1a62UC&oi=fnd&pg=PA3&dq=machine+learning&ots=92kawxkAdP&sig=OEfzr5fQsDYylax-TZe8f2t8aX0
[BOOK][B] Foundations of machine learning,"M Mohri, A Rostamizadeh, A Talwalkar - 2018 - books.google.com","… It covers fundamental modern topics in machine learning … complex topics arising in machine 
learning and highlight several … of important topics in machine learning, we have chosen to …",https://books.google.com/books?hl=en&lr=&id=dWB9DwAAQBAJ&oi=fnd&pg=PR5&dq=machinelearning&ots=AzpSTVy_q6&sig=niX2J_kl68tf8cALaGUAku4Px2M
[BOOK][B] Elements of machine learning,P Langley - 1996 - books.google.com,"… the goals that motivate researchers to study machine learning. After this, we present a 
framework for machine learning that serves as an organization for the later sections in the chapter. …",https://books.google.com/books?hl=en&lr=&id=TNg5qVoqRtUC&oi=fnd&pg=PR9&dq=machinelearning&ots=Q5mpWxxWQs&sig=3VTfqbtRpm-Z_B2t7mdN7o_Leds
An overview of machine learning,"JG Carbonell, RS Michalski, TM Mitchell - Machine learning, 1983 - Elsevier","… This chapter discusses the objective and concept of machine learning. The study and … 
subject matter of machine learning. At present, the field of machine learning is organized around …",https://www.sciencedirect.com/science/article/pii/B9780080510545500054
[HTML][HTML] Machine learning and its applications to biology,"AL Tarca, VJ Carey, X Chen, R Romero… - PLoS computational …, 2007 - journals.plos.org","… of machine learning is long and complex. An early technique [1] for machine learning called 
… In the intervening years, the flexibility of machine learning techniques has grown along with …",https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.0030116
Machine learning from theory to algorithms: an overview,"J Alzubi, A Nayyar, A Kumar - Journal of physics: conference …, 2018 - iopscience.iop.org","… of development of Machine Learning to the present day, various machine learning algorithms, 
applications and challenges. This paper presents an overview of machine learning, its …",https://iopscience.iop.org/article/10.1088/1742-6596/1142/1/012012/meta
[BOOK][B] The discipline of machine learning,TM Mitchell - 2006 - cs.cmu.edu,"Over the past 50 years the study of Machine Learning has grown from the efforts of a handful 
of computer engineers exploring whether computers could learn to play games, and a field …",https://www.cs.cmu.edu/afs/cs/usr/mitchell/ftp/pubs/MachineLearningTR.pdf
[BOOK][B] Machine learning,ZH Zhou - 2021 - books.google.com,"Machine Learning, a vital and core area of artificial intelligence (AI), is propelling the AI field 
ever further and making it one of the most compelling areas of computer science research. …",https://books.google.com/books?hl=en&lr=&id=ctM-EAAAQBAJ&oi=fnd&pg=PR6&dq=machinelearning&ots=o_KkS7Ys3v&sig=1lJHvF94prvWc7A7PzlV6VJV3Mc
[BOOK][B] Machine learning: a probabilistic perspective,KP Murphy - 2012 - books.google.com,"… This deluge of data calls for automated methods of data analysis, which is what machine 
learning provides. In particular, we define machine learning as a set of methods that can …",https://books.google.com/books?hl=en&lr=&id=RC43AgAAQBAJ&oi=fnd&pg=PR7&dq=machinelearning&ots=unhx8DTq3d&sig=Cc5S_IUqPiZAHTRWQUYlPnMoWHw
[BOOK][B] MATLAB machine learning,"M Paluszek, S Thomas - 2016 - books.google.com","This book is a comprehensive guide to machine learning with worked examples in MATLAB. 
It starts with an overview of the history of Artificial Intelligence and automatic control and …",https://books.google.com/books?hl=en&lr=&id=3kXODQAAQBAJ&oi=fnd&pg=PR6&dq=machinelearning&ots=ZNItTNdaqS&sig=Fhzg3DXDrRGL1W68UeuYRbfh-m0
Machine learning and law: An overview,"H Surden - Research Handbook on Big Data Law, 2021 - elgaronline.com","… , machine learning has only recently started to develop. This chapter explores machine 
learning’s … The first section describes what machine learning is, highlighting its central principles. …",https://www.elgaronline.com/abstract/edcoll/9781788972819/9781788972819.00014.xml
[PDF][PDF] Machine learning basics,"H Wang, Z Lei, X Zhang, B Zhou, J Peng - Deep learning, 2016 - whdeng.cn","Without sufficient data, the learner cannot distinguish which one is most appropriate and 
would make an arbitrary choice among these apparently good solutions A separate validation …",http://whdeng.cn/Teaching/PPT_01_Machine%20learning%20Basics.pdf
A guide to machine learning for biologists,"JG Greener, SM Kandathil, L Moffat… - Nature reviews Molecular …, 2022 - nature.com","… A machine learning task is an objective specification for what we want a machine learning 
model to accomplish. For example, for an experiment investigating the expression of genes …",https://www.nature.com/articles/s41580-021-00407-0
[BOOK][B] Machine learning: a concise introduction,SW Knox - 2018 - books.google.com,"… needed for an understanding of the methods and application of machine learning. … a machine 
learning solution they create for some real-world application. Instead, a machine learning …",https://books.google.com/books?hl=en&lr=&id=z_pSDwAAQBAJ&oi=fnd&pg=PR1&dq=machinelearning&ots=eZZWiri4Lv&sig=o-oCJOCBTuWHqMkJD2rDNU77u-E
[BOOK][B] Machine Learning Algorithms: Popular algorithms for data science and machine learning,G Bonaccorso - 2018 - books.google.com,"… recommendation systems Create a machine learning architecture from scratch Who this 
book is for Machine Learning Algorithms is for you if you are a machine learning engineer, data …",https://books.google.com/books?hl=en&lr=&id=_EZsDwAAQBAJ&oi=fnd&pg=PP1&dq=machinelearning&ots=cJQkZYf17C&sig=b7wFP_GrqXtZ6XFwBfQjyufC19w
[PDF][PDF] Introduction to machine learning,"NJ Nilson - Stanfiord University, USA, 2005 - bafflerbach.github.io","Machine learning is a field of computing that has recently seen an explosion in applications 
and household recognition. A loose definition of machine learning … behind machine learning …",https://bafflerbach.github.io/test_software_carpentry/files/Module%201%20Lecture%20Notes.pdf
[PDF][PDF] International conference on machine learning,"W Li, C Wang, G Cheng, Q Song - Transactions on machine learning …, 2023 - par.nsf.gov","In this paper, we make the key delineation on the roles of resolution and statistical uncertainty 
in hierarchical bandits-based black-box optimization algorithms, guiding a more general …",https://par.nsf.gov/servlets/purl/10418406
[BOOK][B] Machine learning: the art and science of algorithms that make sense of data,P Flach - 2012 - books.google.com,"… As one of the most comprehensive machine learning texts … an immediate introduction to 
machine learning in action, with a … Machine Learning will set a new standard as an introductory …",https://books.google.com/books?hl=en&lr=&id=Ofp4h_oXsZ4C&oi=fnd&pg=PR15&dq=machinelearning&ots=XMqWhphpSO&sig=mLpn0MkNWb-elaH6sgva8eXuyY4
The impact of machine learning on economics,"S Athey - The economics of artificial intelligence: An agenda, 2018 - degruyter.com","I believe that machine learning (ML) will have a dramatic impact on the field of economics 
within a short time frame. Indeed, the impact of ML on economics is already well underway, …",https://www.degruyter.com/document/doi/10.7208/9780226613475-023/pdf?licenseType=restricted
The security of machine learning,"M Barreno, B Nelson, AD Joseph, JD Tygar - Machine learning, 2010 - Springer","… analyzing attacks against machine learning systems. We … machine learning as a general 
tool for computer applications, it is incumbent on us to investigate how well machine learning …",https://link.springer.com/article/10.1007/s10994-010-5188-5
[BOOK][B] An introduction to machine learning,M Kubat - 2017 - Springer,"… Hence our interest in algorithms and techniques for machine learning, the topic of this … not 
only as our preliminary attempt to address the machine-learning task, but also as a tool that …",https://link.springer.com/content/pdf/10.1007/978-3-319-63913-0.pdf
[BOOK][B] Machine learning,"TM Mitchell, TM Mitchell - 1997 - pachecoj.com","… Introduction to Machine Learning … What is machine learning? … Takes a probabilistic 
approach to machine learning …",http://www.pachecoj.com/courses/csc380_fall21/lectures/mlintro.pdf
[HTML][HTML] Machine learning and data mining,"TM Mitchell - Communications of the ACM, 1999 - dl.acm.org","… ; the development of robust and efficient machine learning algorithms to process this data; 
and the … ,”“advanced data analysis,” and machine learning, has already produced practical …",https://dl.acm.org/doi/fullHtml/10.1145/319382.319388
"[PDF][PDF] C4. 5: Programs for machine learning by j. ross quinlan. morgan kaufmann publishers, inc., 1993",SL Salzberg - 1994 - server3.eca.ir,"Algorithms for constructing decision trees are among the most well known and widely used 
of all machine learning methods. Among decision tree algorithms, J. Ross Quinlan's ID3 and …",http://server3.eca.ir/isi/forum/Programs%20for%20Machine%20Learning.pdf
A review of machine learning and deep learning applications,"PP Shinde, S Shah - 2018 Fourth international conference on …, 2018 - ieeexplore.ieee.org","… , and applications of machine learning and deep learning … machine learning and deep 
learning. Section II gives Overview of Machine Learning, Section III describes Machine Learning …",https://ieeexplore.ieee.org/abstract/document/8697857/
[BOOK][B] Probabilistic machine learning: an introduction,KP Murphy - 2022 - books.google.com,"A detailed and up-to-date introduction to machine learning, presented through the unifying 
lens of probabilistic modeling and Bayesian decision theory. This book offers a detailed and …",https://books.google.com/books?hl=en&lr=&id=wrZNEAAAQBAJ&oi=fnd&pg=PR27&dq=machinelearning&ots=LaneIEfjVk&sig=RMgjZd_H4VfZc9xnOD8ti_kAW8Y
"[HTML][HTML] Machine learning: Algorithms, real-world applications and research directions","IH Sarker - SN computer science, 2021 - Springer","… machine learning methods, can intelligently analyze the data on a large scale. In this paper, 
we present a comprehensive view on these machine learning … of different machine learning …",https://link.springer.com/article/10.1007/S42979-021-00592-X
[BOOK][B] Machine learning: An artificial intelligence approach,"RS Michalski, JG Carbonell, TM Mitchell - 2013 - books.google.com","… The major contemporary research directions in machine learning covered in this book 
include: learning from examples, modeling human learning strategies, knowledge acquisition for …",https://books.google.com/books?hl=en&lr=&id=-eqpCAAAQBAJ&oi=fnd&pg=PA2&dq=machinelearning&ots=Wn1OJDaCn3&sig=x4GGRx1GCX-vYaS92wL47VRyG-w
Machine learning in medicine,"RC Deo - Circulation, 2015 - Am Heart Assoc","… Machine learning is the scientific discipline that focuses on how … be useful when considering 
how machine learning might inform the … or might benefit from machine learning approaches. …",https://www.ahajournals.org/doi/abs/10.1161/circulationaha.115.001593
A review of supervised machine learning algorithms,"A Singh, N Thakur, A Sharma - 2016 3rd international …, 2016 - ieeexplore.ieee.org","… efficacy of supervised machine learning algorithms in terms of … comparison with state of art 
machine learning algorithms. … commonly used supervised machine learning algorithms for …",https://ieeexplore.ieee.org/abstract/document/7724478/
[PDF][PDF] Scikit-learn: Machine learning in Python,"F Pedregosa, G Varoquaux, A Gramfort… - … of machine Learning …, 2011 - jmlr.org","… We try to minimize the use of machine-learning jargon, while maintaining precision with … 
a few algorithms implemented in the major machine learning toolkits accessible in Python. We …",https://www.jmlr.org/papers/volume12/pedregosa11a/pedregosa11a.pdf?ref=https:/
